Rank,Player,Position,Team,Katz Rank,Soppe Rank,Average
1,Josh Allen,QB,BUF,1,1,1
2,Drake Maye,QB,NE,4,2,2
3,Ja'Marr Chase,WR,CIN,3,3,3
4,Lamar Jackson,QB,BAL,2,6,4
5,Jahmyr Gibbs,RB,DET,5,7,5
6,Joe Burrow,QB,CIN,10,4,6
7,Bijan Robinson,RB,ATL,7,5,7
8,Jayden Daniels,QB,WAS,6,8,8
9,Puka Nacua,WR,LAR,9,9,9
10,Jalen Hurts,QB,PHI,8,18,10
11,Jonathan Taylor,RB,IND,11,14,11
12,Jaxon Smith-Njigba,WR,SEA,12,11,12
13,Justin Herbert,QB,LAC,16,15,13
14,James Cook III,RB,BUF,17,10,14
15,Amon-Ra St. Brown,WR,DET,15,13,15
16,Caleb Williams,QB,CHI,22,12,16
17,Christian McCaffrey,RB,SF,14,16,17
18,Justin Jefferson,WR,MIN,19,19,18
19,CeeDee Lamb,WR,DAL,18,26,19
20,Chase Brown,RB,CIN,23,25,20
21,A.J. Brown,WR,NE,28,17,21
22,Jaxson Dart,QB,NYG,13,22,22
23,Saquon Barkley,RB,PHI,26,23,23
24,Drake London,WR,ATL,21,24,24
25,Brock Bowers,TE,LV,25,34,25
26,Derrick Henry,RB,BAL,32,30,26
27,Nico Collins,WR,HOU,27,21,27
28,Malik Nabers,WR,NYG,24,28,28
29,Trevor Lawrence,QB,JAX,29,29,29
30,De'Von Achane,RB,MIA,44,20,30
31,George Pickens,WR,DAL,33,31,31
32,Kenneth Walker III,RB,KC,30,37,32
33,Rashee Rice,WR,KC,39,33,33
34,Trey McBride,TE,ARI,34,27,34
35,Chris Olave,WR,NO,31,42,35
36,Dak Prescott,QB,DAL,36,36,36
37,Ashton Jeanty,RB,LV,20,54,37
38,Zay Flowers,WR,BAL,38,38,38
39,Tee Higgins,WR,CIN,45,35,39
40,Omarion Hampton,RB,LAC,37,40,40
41,Brock Purdy,QB,SF,41,53,41
42,Jaylen Waddle,WR,DEN,42,39,42
43,Colston Loveland,TE,CHI,43,44,43
44,Jeremiyah Love,RB,ARI,40,43,44
45,DeVonta Smith,WR,PHI,35,49,45
46,Javonte Williams,RB,DAL,56,32,46
47,Ladd McConkey,WR,LAC,48,45,47
48,Emeka Egbuka,WR,TB,51,47,48
49,Breece Hall,RB,NYJ,46,60,49
50,Bo Nix,QB,DEN,57,41,50
51,Terry McLaurin,WR,WAS,47,55,51
52,Tyler Warren,TE,IND,52,59,52
53,Travis Etienne Jr.,RB,NO,60,46,53
54,Tetairoa McMillan,WR,CAR,55,51,54
55,Garrett Wilson,WR,NYJ,58,56,55
56,Josh Jacobs,RB,GB,53,57,56
57,Patrick Mahomes II,QB,KC,50,50,57
58,Luther Burden III,WR,CHI,54,67,58
59,Tucker Kraft,TE,GB,59,52,59
60,D'Andre Swift,RB,CHI,64,48,60
61,Christian Watson,WR,GB,67,58,61
62,Kyler Murray,QB,MIN,64,69,62
63,Kyren Williams,RB,LAR,49,64,63
64,Parker Washington,WR,JAX,61,66,64
65,Sam LaPorta,TE,DET,66,73,65
66,Jameson Williams,WR,DET,64,63,66
67,Cam Skattebo,RB,NYG,68,71,67
68,Rome Odunze,WR,CHI,70,62,68
69,Matthew Stafford,QB,LAR,78,61,69
70,David Montgomery,RB,HOU,76,70,70
71,Carnell Tate,WR,TEN,73,72,71
72,George Kittle,TE,SF,80,65,72
73,Bhayshul Tuten,RB,JAX,80,74,73
74,Marvin Harrison Jr.,WR,ARI,82,77,74
75,Jared Goff,QB,DET,71,68,75
76,DJ Moore,WR,BUF,85,80,76
77,Quinshon Judkins,RB,CLE,72,92,77
78,Harold Fannin Jr.,TE,CLE,73,79,78
79,Davante Adams,WR,LAR,76,93,79
80,Jadarian Price,RB,SEA,92,78,80
81,Jordan Love,QB,GB,92,76,81
82,Brian Thomas Jr.,WR,JAX,88,89,82
83,Kyle Pitts Sr.,TE,ATL,87,90,83
84,DK Metcalf,WR,PIT,112,75,84
85,Bucky Irving,RB,TB,96,81,85
86,Quentin Johnston,WR,LAC,106,82,86
87,Malik Willis,QB,MIA,85,95,87
88,Jaylen Warren,RB,PIT,84,97,88
89,Stefon Diggs,WR,WAS,94,96,89
90,Isaiah Likely,TE,NYG,129,83,90
91,TreVeyon Henderson,RB,NE,104,88,91
92,Mike Evans,WR,SF,79,113,92
